ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name,source_table
1,143804019,143804020,-,otherMod_site_74,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143804046,143804047,-,otherMod_site_76,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143804047,143804048,-,otherMod_site_77,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143804050,143804051,-,otherMod_site_78,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143804053,143804054,-,Pseudo_site_321,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143971516,143971517,-,m7G_site_61,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",2,0,na,na,RMBase_m7G
1,144419274,144419275,+,otherMod_site_79,m1G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419275,144419276,+,otherMod_site_80,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419281,144419282,+,otherMod_site_81,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419303,144419304,+,otherMod_site_82,t6A,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419313,144419314,+,otherMod_site_83,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419320,144419321,+,otherMod_site_84,xU,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,144419321,144419322,+,Pseudo_site_324,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,144419324,144419325,+,m1A_site_66,m1A,noScore,2,"HEK293T,cytosolic",m1A-seq,2,0,na,na,RMBase_m1A
1,144567529,144567530,-,m1A_site_67,m1A,noScore,1,cytosolic,na,1,0,na,na,RMBase_m1A
1,144567532,144567533,-,Pseudo_site_327,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,144567533,144567534,-,otherMod_site_86,xU,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567540,144567541,-,otherMod_site_87,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567550,144567551,-,otherMod_site_88,t6A,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567553,144567554,-,otherMod_site_89,QtRNA,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567559,144567560,-,Pseudo_site_328,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,144567560,144567561,-,Pseudo_site_329,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,144567561,144567562,-,otherMod_site_90,"m2,2G",noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567567,144567568,-,otherMod_site_91,acp3U,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567568,144567569,-,otherMod_site_92,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567572,144567573,-,otherMod_site_93,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567578,144567579,-,otherMod_site_94,m2G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,144567579,144567580,-,otherMod_site_95,m1G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145157168,145157169,+,Pseudo_site_331,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145157202,145157203,+,otherMod_site_96,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145157203,145157204,+,m5C_site_3234,m5C,noScore,1,cytosolic,na,1,0,na,na,RMBase_m5C
1,145157204,145157205,+,m5C_site_3235,m5C,noScore,1,cytosolic,na,1,0,na,na,RMBase_m5C
1,145168464,145168465,+,Pseudo_site_332,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145171290,145171291,+,Pseudo_site_333,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145171291,145171292,+,Pseudo_site_334,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145287773,145287774,+,otherMod_site_97,m1G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287774,145287775,+,otherMod_site_98,m2G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287780,145287781,+,otherMod_site_99,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287784,145287785,+,otherMod_site_100,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287785,145287786,+,otherMod_site_101,acp3U,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287791,145287792,+,otherMod_site_102,"m2,2G",noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287792,145287793,+,Pseudo_site_338,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145287793,145287794,+,Pseudo_site_339,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145287799,145287800,+,otherMod_site_103,QtRNA,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287802,145287803,+,otherMod_site_104,t6A,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287812,145287813,+,otherMod_site_105,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287819,145287820,+,otherMod_site_106,xU,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,145287820,145287821,+,Pseudo_site_340,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145287823,145287824,+,m1A_site_69,m1A,noScore,1,cytosolic,na,1,0,na,na,RMBase_m1A
1,145475398,145475399,-,Pseudo_site_343,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145475399,145475400,-,otherMod_site_108,xU,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475425,145475426,-,Pseudo_site_344,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145475426,145475427,-,Pseudo_site_345,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,145475427,145475428,-,otherMod_site_109,"m2,2G",noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475433,145475434,-,otherMod_site_110,acp3U,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475434,145475435,-,otherMod_site_111,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475438,145475439,-,otherMod_site_112,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475444,145475445,-,otherMod_site_113,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145475445,145475446,-,otherMod_site_114,m1G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,145978050,145978051,+,m7G_site_66,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",5,0,na,na,RMBase_m7G
1,146035700,146035701,+,otherMod_site_115,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146035703,146035704,+,Pseudo_site_346,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146035709,146035710,+,otherMod_site_116,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146035710,146035711,+,Pseudo_site_347,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146035738,146035739,+,m5C_site_3307,m5C,noScore,2,cytosolic,na,2,0,na,na,RMBase_m5C
1,146035739,146035740,+,m5C_site_3308,m5C,noScore,2,cytosolic,na,2,0,na,na,RMBase_m5C
1,146035743,146035744,+,otherMod_site_117,m5Um,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146035744,146035745,+,Pseudo_site_348,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146037116,146037117,+,m1A_site_72,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,146038055,146038056,+,Pseudo_site_350,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146038058,146038059,+,otherMod_site_118,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146038061,146038062,+,otherMod_site_119,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146038062,146038063,+,otherMod_site_120,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,146038074,146038075,+,Pseudo_site_351,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146038089,146038090,+,m5C_site_3314,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,146038090,146038091,+,m5C_site_3315,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,146038096,146038097,+,Pseudo_site_352,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146038099,146038100,+,m1A_site_73,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,14626,14627,-,m6A_site_4,m6A,3.64304761904762,2,"HEK293,hESC-HEK293T","m6A-REF-seq,MAZTER-seq",1,0,na,na,RMBase_m6A
1,146370108,146370109,+,otherMod_site_121,m1G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370109,146370110,+,otherMod_site_122,m2G,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370115,146370116,+,otherMod_site_123,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370119,146370120,+,otherMod_site_124,D,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370120,146370121,+,otherMod_site_125,acp3U,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370126,146370127,+,otherMod_site_126,"m2,2G",noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,146370127,146370128,+,Pseudo_site_357,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,146370128,146370129,+,Pseudo_site_358,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,147073236,147073237,+,Pseudo_site_361,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,147073239,147073240,+,otherMod_site_129,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,147073242,147073243,+,otherMod_site_130,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,147073243,147073244,+,otherMod_site_131,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,147073255,147073256,+,Pseudo_site_362,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,147073270,147073271,+,m5C_site_3324,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,147073271,147073272,+,m5C_site_3325,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,147073277,147073278,+,Pseudo_site_363,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,147073280,147073281,+,m1A_site_74,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,147178611,147178612,+,m7G_site_67,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",6,0,na,na,RMBase_m7G
1,1471990,1471991,+,m7G_site_2,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,148048560,148048561,-,Pseudo_site_368,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148048561,148048562,-,Pseudo_site_369,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148048562,148048563,-,otherMod_site_133,"m2,2G",noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148048568,148048569,-,otherMod_site_134,acp3U,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148048569,148048570,-,otherMod_site_135,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148048573,148048574,-,otherMod_site_136,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148048579,148048580,-,otherMod_site_137,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148048580,148048581,-,otherMod_site_138,m1G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148281376,148281377,+,Pseudo_site_370,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148281379,148281380,+,otherMod_site_139,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148281382,148281383,+,otherMod_site_140,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148281383,148281384,+,otherMod_site_141,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148281395,148281396,+,Pseudo_site_371,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148281410,148281411,+,m5C_site_3330,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,148281411,148281412,+,m5C_site_3331,m5C,noScore,1,cytosolic,na,2,0,na,na,RMBase_m5C
1,148281417,148281418,+,Pseudo_site_372,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148281420,148281421,+,m1A_site_78,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,148302748,148302749,-,m1A_site_79,m1A,noScore,1,cytosolic,na,5,0,na,na,RMBase_m1A
1,148302751,148302752,-,Pseudo_site_373,Y,noScore,1,cytosolic,na,4,0,na,na,RMBase_v3_human_original
1,148302757,148302758,-,m5C_site_3332,m5C,noScore,1,cytosolic,na,5,0,na,na,RMBase_m5C
1,148302758,148302759,-,m5C_site_3333,m5C,noScore,1,cytosolic,na,5,0,na,na,RMBase_m5C
1,148302773,148302774,-,Pseudo_site_374,Y,noScore,1,cytosolic,na,4,0,na,na,RMBase_v3_human_original
1,148302785,148302786,-,otherMod_site_142,D,noScore,1,cytosolic,na,5,0,na,na,RMBase_other
1,148302786,148302787,-,otherMod_site_143,D,noScore,1,cytosolic,na,5,0,na,na,RMBase_other
1,148302789,148302790,-,otherMod_site_144,D,noScore,1,cytosolic,na,5,0,na,na,RMBase_other
1,148302792,148302793,-,Pseudo_site_375,Y,noScore,2,cytosolic,na,4,0,na,na,RMBase_v3_human_original
1,148353612,148353613,+,Pseudo_site_376,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148353613,148353614,+,Pseudo_site_377,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148353616,148353617,+,m1A_site_81,m1A,noScore,3,"HEK293T,cytosolic","m1A-MAP-seq,m1A-seq",2,0,na,na,RMBase_m1A
1,148378960,148378961,-,Pseudo_site_380,Y,noScore,1,cytosolic,na,4,0,na,na,RMBase_v3_human_original
1,148378961,148378962,-,Pseudo_site_381,Y,noScore,1,cytosolic,na,4,0,na,na,RMBase_v3_human_original
1,148378962,148378963,-,otherMod_site_146,"m2,2G",noScore,1,cytosolic,na,5,0,na,na,RMBase_other
1,148405391,148405392,+,otherMod_site_147,m1G,noScore,1,cytosolic,na,4,0,na,na,RMBase_other
1,148405392,148405393,+,otherMod_site_148,m2G,noScore,1,cytosolic,na,4,0,na,na,RMBase_other
1,148405398,148405399,+,otherMod_site_149,D,noScore,1,cytosolic,na,4,0,na,na,RMBase_other
1,148529264,148529265,+,otherMod_site_151,m1G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529265,148529266,+,otherMod_site_152,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529271,148529272,+,otherMod_site_153,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529275,148529276,+,otherMod_site_154,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529276,148529277,+,otherMod_site_155,acp3U,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529282,148529283,+,otherMod_site_156,"m2,2G",noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529283,148529284,+,Pseudo_site_386,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148529284,148529285,+,Pseudo_site_387,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148529290,148529291,+,otherMod_site_157,QtRNA,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529293,148529294,+,otherMod_site_158,t6A,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529303,148529304,+,otherMod_site_159,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529310,148529311,+,otherMod_site_160,xU,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,148529311,148529312,+,Pseudo_site_388,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,148529314,148529315,+,m1A_site_82,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,149558433,149558434,-,m1A_site_83,m1A,noScore,1,cytosolic,na,1,0,na,na,RMBase_m1A
1,149558436,149558437,-,Pseudo_site_398,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,149558437,149558438,-,otherMod_site_163,xU,noScore,1,cytosolic,na,1,0,na,na,RMBase_other
1,149646465,149646466,-,m1A_site_84,m1A,noScore,1,cytosolic,na,1,0,na,na,RMBase_m1A
1,149698522,149698523,-,Pseudo_site_402,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,149698523,149698524,-,Pseudo_site_403,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,149701350,149701351,-,Pseudo_site_404,Y,noScore,2,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,149712566,149712567,-,m1A_site_85,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,149712569,149712570,-,Pseudo_site_405,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,149712575,149712576,-,m5C_site_3335,m5C,noScore,1,cytosolic,na,2,0,na,NSUN2,RMBase_m5C
1,149712576,149712577,-,m5C_site_3336,m5C,noScore,1,cytosolic,na,2,0,na,NSUN2,RMBase_m5C
1,149712577,149712578,-,otherMod_site_164,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,149712604,149712605,-,otherMod_site_165,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,149712605,149712606,-,otherMod_site_166,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,149712608,149712609,-,otherMod_site_167,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,149712611,149712612,-,Pseudo_site_406,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,149900480,149900481,+,m7G_site_70,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,149944917,149944918,-,m7G_site_71,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,150622574,150622575,-,m7G_site_72,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,151035274,151035275,+,m7G_site_73,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",5,0,na,na,RMBase_m7G
1,151053149,151053150,-,m7G_site_74,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",5,0,na,na,RMBase_m7G
1,151249382,151249383,+,m7G_site_75,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,151254730,151254731,+,m7G_site_76,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",2,0,na,na,RMBase_m7G
1,151265228,151265229,+,m7G_site_77,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",6,0,na,na,RMBase_m7G
1,151347252,151347253,-,m7G_site_78,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",5,0,na,na,RMBase_m7G
1,153645568,153645569,+,m7G_site_79,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,153671257,153671258,+,otherMod_site_168,m1G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,153671258,153671259,+,otherMod_site_169,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,153671273,153671274,+,otherMod_site_170,m2G,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,153671284,153671285,+,otherMod_site_171,t6A,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,153671294,153671295,+,otherMod_site_172,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,153671295,153671296,+,m5C_site_3532,m5C,noScore,2,cytosolic,na,2,0,na,na,RMBase_m5C
1,153671305,153671306,+,m1A_site_90,m1A,noScore,1,cytosolic,na,2,0,na,na,RMBase_m1A
1,154275405,154275406,+,m7G_site_81,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",10,0,na,na,RMBase_m7G
